Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,META,NFLX,AAPL,AMZN,GOOGL,META,NFLX,AAPL,AMZN,GOOGL,META,NFLX,AAPL,AMZN,GOOGL,META,NFLX,AAPL,AMZN,GOOGL,META,NFLX,AAPL,AMZN,GOOGL,META,NFLX
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,72.96045684814453,94.90049743652344,68.43399810791016,209.55764770507812,329.80999755859375,75.0875015258789,94.90049743652344,68.43399810791016,209.77999877929688,329.80999755859375,75.1500015258789,94.90049743652344,68.43399810791016,209.7899932861328,329.9800109863281,73.79750061035156,93.2074966430664,67.32450103759766,206.27000427246094,324.7799987792969,74.05999755859375,93.75,67.42050170898438,206.75,326.1000061035156,135480400,80580000,27278000,12077100,4485800
2020-01-03,72.25113677978516,93.74849700927734,68.07599639892578,208.44883728027344,325.8999938964844,74.35749816894531,93.74849700927734,68.07599639892578,208.6699981689453,325.8999938964844,75.1449966430664,94.30999755859375,68.6875,210.39999389648438,329.8599853515625,74.125,93.2249984741211,67.36599731445312,206.9499969482422,325.5299987792969,74.2874984741211,93.2249984741211,67.4000015258789,207.2100067138672,326.7799987792969,146322800,75288000,23408000,11188400,3806900
2020-01-06,72.82687377929688,95.14399719238281,69.8905029296875,212.3746795654297,335.8299865722656,74.94999694824219,95.14399719238281,69.8905029296875,212.60000610351562,335.8299865722656,74.98999786376953,95.18450164794922,69.91600036621094,212.77999877929688,336.3599853515625,73.1875,93.0,67.55000305175781,206.52000427246094,321.20001220703125,73.44750213623047,93.0,67.58149719238281,206.6999969482422,323.1199951171875,118387200,81236000,46768000,17058900,5663100
2020-01-07,72.48433685302734,95.34300231933594,69.75550079345703,212.8341827392578,330.75,74.59750366210938,95.34300231933594,69.75550079345703,213.05999755859375,330.75,75.2249984741211,95.69450378417969,70.17500305175781,214.5800018310547,336.70001220703125,74.37000274658203,94.60199737548828,69.5780029296875,211.75,330.29998779296875,74.95999908447266,95.2249984741211,70.02300262451172,212.82000732421875,336.4700012207031,108872000,80898000,34330000,14912400,4703200
2020-01-08,73.65035247802734,94.59850311279297,70.25199890136719,214.9918975830078,339.260009765625,75.79750061035156,94.59850311279297,70.25199890136719,215.22000122070312,339.260009765625,76.11000061035156,95.55000305175781,70.59249877929688,216.24000549316406,342.70001220703125,74.29000091552734,94.3219985961914,69.63150024414062,212.61000061035156,331.04998779296875,74.29000091552734,94.9020004272461,69.74099731445312,213.0,331.489990234375,132079200,70160000,35314000,13475000,7104500
2020-01-09,75.21475219726562,95.05249786376953,70.989501953125,218.06863403320312,335.6600036621094,77.40750122070312,95.05249786376953,70.989501953125,218.3000030517578,335.6600036621094,77.60749816894531,95.89099884033203,71.43399810791016,218.3800048828125,343.4200134277344,76.55000305175781,94.79000091552734,70.510498046875,216.27999877929688,334.6099853515625,76.80999755859375,95.49449920654297,71.09649658203125,217.5399932861328,342.0,170108400,63346000,33200000,12642800,4709300
2020-01-10,75.38478088378906,94.15799713134766,71.447998046875,217.82887268066406,329.04998779296875,77.5824966430664,94.15799713134766,71.447998046875,218.05999755859375,329.04998779296875,78.1675033569336,95.34700012207031,71.74700164794922,219.8800048828125,338.5,77.0625,94.0,70.9800033569336,217.4199981689453,327.2699890136719,77.6500015258789,95.26850128173828,71.47350311279297,219.1999969482422,337.1300048828125,140644800,57074000,26258000,12119400,4718300
2020-01-13,76.9953384399414,94.56500244140625,72.00150299072266,221.6748046875,338.9200134277344,79.23999786376953,94.56500244140625,72.00150299072266,221.91000366210938,338.9200134277344,79.26750183105469,94.9000015258789,72.0739974975586,221.97000122070312,340.8500061035156,77.7874984741211,94.04000091552734,71.26850128173828,219.2100067138672,331.510009765625,77.91000366210938,94.56549835205078,71.76249694824219,219.60000610351562,331.79998779296875,121532000,55616000,30730000,14463400,6290000
2020-01-14,75.95563507080078,93.47200012207031,71.52950286865234,218.82781982421875,338.69000244140625,78.16999816894531,93.47200012207031,71.52950286865234,219.05999755859375,338.69000244140625,79.39250183105469,94.35549926757812,72.13150024414062,222.3800048828125,345.3800048828125,78.0425033569336,92.92749786376953,71.38849639892578,218.6300048828125,335.5199890136719,79.17500305175781,94.29399871826172,72.0,221.61000061035156,344.3999938964844,161954400,68818000,26076000,13288900,7199400
2020-01-15,75.630126953125,93.10099792480469,71.95999908447266,220.9156036376953,339.07000732421875,77.83499908447266,93.10099792480469,71.95999908447266,221.14999389648438,339.07000732421875,78.875,93.94300079345703,72.03900146484375,221.67999267578125,343.1700134277344,77.38749694824219,92.75450134277344,71.58300018310547,220.13999938964844,336.6000061035156,77.9625015258789,93.61250305175781,71.6510009765625,220.61000061035156,338.67999267578125,121923600,57932000,21550000,10036500,5158000
